UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
3630,1981,Female,"under $25,000",Single (no kids),Bachelor's Degree,Democrat,No,Yes,No,Yes,No,No,Public,Yes,Yes,No,,No,,,,Try first,,,,,,,,,,,,,No,,,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Me,No,No,Yes,Yes,No,TMI,No,No,Tunes,People,No,No,Yes,No,No,Supportive,No,PC,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,Yes,No,Yes,No,Yay people!,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Rent,Pessimist,Mom,No,No,Yes,Yes,Check!,Yes,Yes,No,Yes,No,,,,,No,79
3631,1982,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Independent,,,No,Yes,No,No,Public,No,,,,,,,,,,,,,,,,,,,Cool headed,Standard hours,,,Yes,,,,,Yes,Start,Yes,No,,Yes,Yes,Yes,Yes,No,Mysterious,No,Yes,Talk,People,No,No,Yes,Yes,Yes,Supportive,Yes,PC,Yes,Cautious,No,Yes!,No,Space,No,Online,Yes,No,Yes,Yes,Yay people!,No,No,No,No,No,Yes,,,,,,,,Optimist,Dad,No,No,Yes,Yes,Nope,No,No,No,No,,,,,,,61
3632,1975,Male,"$100,001 - $150,000",Married (w/kids),High School Diploma,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,P.M.,,,,,,,,,,,,,,,,,,,Yes,No,Demanding,,Mac,Yes,,No,,No,,,Online,No,No,,Yes,Yay people!,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,24
3633,1997,Female,"$25,001 - $50,000",Single (no kids),Current K-12,Independent,No,No,No,No,Yes,No,Public,No,No,No,No,No,Yes,Yes,Art,Try first,No,Yes,Yes,No,Receiving,No,Yes,Idealist,No,No,Cool headed,Standard hours,No,Happy,Yes,No,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,No,Tunes,People,No,No,No,Yes,Yes,Supportive,Yes,PC,No,Cautious,No,Umm...,Yes,Socialize,Yes,Online,No,Yes,Yes,Yes,Yay people!,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Own,Optimist,Mom,No,No,Yes,No,Nope,Yes,No,No,No,Yes,Yes,Only-child,No,No,No,101
3634,1990,Female,"under $25,000",Single (no kids),Current Undergraduate,Democrat,,,,,,,,No,Yes,No,No,Yes,Yes,Yes,Art,Study first,Yes,No,No,No,Receiving,Yes,No,Idealist,Yes,Yes,Cool headed,Standard hours,,Happy,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
3635,1966,Female,"over $150,000",Married (w/kids),,Republican,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,No,No,No,Yes,Art,Study first,No,Yes,No,Yes,Receiving,Yes,No,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,Start,Yes,No,Circumstances,,Yes,Yes,No,Yes,Mysterious,Yes,No,Tunes,Technology,Yes,Yes,Yes,Yes,No,,No,PC,Yes,Cautious,No,Yes!,No,Space,No,Online,No,No,Yes,Yes,Grrr people,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Own,Optimist,Mom,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,99
3636,1970,Male,"$50,000 - $74,999",Married (w/kids),Associate's Degree,Republican,No,Yes,No,Yes,No,Yes,Private,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,Yes,No,Yes,Yes,Giving,Yes,No,Pragmatist,No,No,Hot headed,Odd hours,No,Happy,Yes,Yes,No,No,A.M.,No,Start,Yes,Yes,,Yes,Yes,Yes,No,No,TMI,No,No,Tunes,Technology,Yes,,,,No,Supportive,No,Mac,Yes,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,No,No,No,No,No,No,No,No,No,No,Rent,Optimist,Mom,Yes,No,Yes,No,Nope,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,97
3637,1958,Male,"over $150,000",Married (w/kids),Master's Degree,Libertarian,No,No,No,Yes,No,No,Private,No,Yes,No,No,No,Yes,Yes,Science,Try first,No,Yes,No,No,Giving,Yes,No,Idealist,No,No,Hot headed,Odd hours,No,Right,No,Yes,No,No,P.M.,No,End,Yes,No,,Yes,Yes,No,No,Yes,TMI,No,,Tunes,Technology,No,Yes,Yes,,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,Yes,Online,,Yes,,Yes,,Yes,Yes,No,No,,No,No,Yes,,,Yes,Yes,Own,,,No,Yes,No,Yes,Nope,Yes,No,,,,,,,,,82
3638,1990,Male,"$50,000 - $74,999",Single (no kids),Master's Degree,Independent,No,No,No,Yes,No,Yes,Public,No,Yes,,Yes,Yes,Yes,Yes,Science,,No,Yes,Yes,No,Receiving,No,Yes,Pragmatist,,Yes,Hot headed,Standard hours,No,Happy,,Yes,No,Yes,,Yes,Start,Yes,No,,Yes,Yes,Yes,Yes,No,Mysterious,Yes,No,,,No,No,Yes,Yes,Yes,Supportive,No,PC,No,,No,Yes!,No,Space,Yes,In-person,No,Yes,,Yes,,Yes,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Own,,Dad,Yes,No,No,Yes,Check!,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,87
3639,1978,Male,"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Libertarian,,,,,Yes,Yes,Public,Yes,Yes,No,No,Yes,No,Yes,Science,,,,,,,,No,,,,Hot headed,,No,Happy,Yes,Yes,Yes,No,A.M.,Yes,End,Yes,Yes,Circumstances,Yes,No,Yes,No,No,TMI,No,Yes,,,Yes,No,Yes,Yes,,,No,PC,Yes,Cautious,No,,No,,,In-person,Yes,No,Yes,Yes,Yay people!,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Rent,Optimist,Mom,Yes,Yes,No,Yes,Check!,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,79
3640,NA,Female,,,,Democrat,,No,Yes,No,No,No,Public,No,Yes,No,Yes,Yes,Yes,No,Art,Try first,Yes,No,No,No,Giving,No,Yes,Idealist,No,Yes,Cool headed,Standard hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,End,Yes,No,Circumstances,Yes,No,Yes,No,Yes,TMI,No,Yes,Tunes,People,Yes,Yes,Yes,No,Yes,Supportive,Yes,Mac,No,Risk-friendly,Yes,Yes!,Yes,Socialize,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Own,Optimist,Mom,No,No,Yes,Yes,Nope,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,100
3641,1984,Male,"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Republican,No,No,No,Yes,No,No,Public,No,Yes,No,Yes,No,No,Yes,Science,Try first,No,No,No,No,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,No,Right,No,Yes,Yes,Yes,P.M.,Yes,End,Yes,No,Me,No,No,Yes,Yes,No,Mysterious,Yes,No,Tunes,Technology,Yes,Yes,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,No,No,No,Yes,Yes,Yes,,Yes,No,No,Rent,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,100
3642,NA,,,,,,No,No,No,Yes,No,Yes,Private,No,Yes,No,No,Yes,Yes,Yes,Science,Study first,Yes,Yes,Yes,No,Receiving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,Yes,A.M.,Yes,Start,No,No,Circumstances,Yes,Yes,No,Yes,Yes,TMI,No,No,Talk,People,No,No,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,Yes,,No,,,Online,Yes,Yes,Yes,Yes,Yay people!,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Own,Optimist,Mom,No,No,No,Yes,Nope,Yes,No,Yes,No,No,No,Yes,No,No,Yes,98
3643,1994,Female,"under $25,000",Single (no kids),Associate's Degree,,No,Yes,No,Yes,Yes,Yes,Public,No,No,No,No,Yes,No,Yes,Science,Study first,Yes,Yes,Yes,No,Giving,No,Yes,Idealist,No,No,Cool headed,Odd hours,No,Happy,Yes,No,Yes,No,A.M.,Yes,Start,No,Yes,Circumstances,Yes,No,Yes,Yes,No,Mysterious,No,No,Tunes,Technology,No,No,No,Yes,Yes,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,Yes,Space,No,Online,No,Yes,Yes,Yes,Grrr people,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Rent,Optimist,Mom,No,No,No,Yes,Nope,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,101
3644,1995,Male,"over $150,000",Single (no kids),Current K-12,Republican,Yes,No,No,No,Yes,Yes,Public,Yes,Yes,Yes,Yes,No,Yes,Yes,Art,Try first,Yes,Yes,Yes,No,Giving,No,Yes,Pragmatist,Yes,No,Cool headed,Standard hours,Yes,Right,No,Yes,No,Yes,A.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,Yes,Mysterious,No,Yes,Tunes,People,No,Yes,Yes,Yes,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Own,Pessimist,Dad,Yes,Yes,Yes,Yes,Check!,No,No,Yes,No,Yes,No,Yes,No,No,Yes,101
3645,1971,Male,,Married (w/kids),High School Diploma,Libertarian,No,Yes,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Science,Try first,No,No,No,No,Giving,Yes,Yes,Idealist,No,No,Cool headed,Odd hours,No,Right,Yes,Yes,Yes,No,A.M.,Yes,End,Yes,Yes,Me,Yes,No,Yes,Yes,Yes,TMI,Yes,No,Talk,People,Yes,No,Yes,No,No,Demanding,No,PC,Yes,Risk-friendly,No,Yes!,No,Socialize,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,101
3646,1996,Female,"under $25,000",Single (no kids),Current K-12,Libertarian,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Supportive,,,,Risk-friendly,,Yes!,No,Space,,,,No,Yes,,,,,,,,,Yes,No,,No,No,,Rent,Pessimist,Mom,,,,,,,,No,Yes,,Yes,,,Yes,No,22
3647,1980,Female,"under $25,000",Single (no kids),High School Diploma,Republican,No,No,No,No,Yes,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Try first,No,Yes,Yes,Yes,Giving,No,Yes,Pragmatist,Yes,No,Hot headed,Odd hours,No,Happy,Yes,No,Yes,No,A.M.,Yes,Start,No,No,Circumstances,Yes,Yes,Yes,No,No,TMI,No,No,Talk,People,Yes,Yes,Yes,No,No,Demanding,No,PC,No,Cautious,No,Umm...,Yes,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Own,Pessimist,Mom,No,Yes,Yes,,Nope,Yes,,No,Yes,Yes,No,Yes,,,No,97
3648,1980,Male,,Single (no kids),,Other,No,No,No,Yes,No,Yes,Public,Yes,,,,,,,,,No,No,Yes,No,Giving,Yes,No,Idealist,No,No,,,,Right,No,,No,No,,No,Start,Yes,No,Me,No,No,No,No,Yes,TMI,Yes,No,Talk,Technology,No,No,Yes,Yes,,,Yes,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,Yes,Yes,No,No,No,Yes,No,Yes,,No,Yes,Rent,Optimist,Dad,No,No,Yes,Yes,Nope,No,No,No,Yes,Yes,Yes,,,,Yes,82
3649,1956,Male,"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican,No,No,No,Yes,No,Yes,Public,No,Yes,No,No,No,No,Yes,Science,Try first,No,Yes,No,No,Giving,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Right,Yes,Yes,No,Yes,P.M.,Yes,Start,Yes,No,Circumstances,Yes,No,No,Yes,No,Mysterious,No,Yes,Talk,Technology,No,No,Yes,No,Yes,Supportive,No,Mac,No,Cautious,Yes,Yes!,No,Space,No,Online,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Own,Optimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,101
3650,1951,Female,"over $150,000",Married (w/kids),Master's Degree,Independent,Yes,Yes,No,Yes,Yes,No,Public,No,Yes,No,No,No,Yes,Yes,Science,Study first,No,Yes,Yes,Yes,Giving,Yes,No,Pragmatist,Yes,Yes,Hot headed,Standard hours,Yes,Right,No,Yes,No,No,P.M.,No,End,No,Yes,Circumstances,Yes,No,Yes,Yes,No,TMI,Yes,No,Tunes,People,No,No,Yes,No,Yes,Supportive,Yes,PC,Yes,Risk-friendly,Yes,Umm...,No,Space,No,In-person,No,No,Yes,Yes,Yay people!,Yes,,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Own,,,,,,,,,,,,,,,,,Yes,84
3651,NA,,,,,,No,Yes,No,No,No,No,Public,No,Yes,No,No,Yes,No,Yes,Science,,,,,,,Yes,No,Idealist,No,No,Cool headed,,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
3652,1973,Female,"$25,001 - $50,000",Domestic Partners (no kids),,Independent,,,No,,No,No,Public,Yes,,,No,No,,,,,,,No,,Giving,Yes,No,Pragmatist,No,No,,Odd hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,,Yes,No,Circumstances,,,,,No,Mysterious,No,,Talk,People,Yes,Yes,No,,Yes,Demanding,Yes,PC,Yes,Cautious,No,,,,,,,Yes,Yes,Yes,,Yes,No,No,No,Yes,,Yes,No,No,No,No,No,Own,Optimist,Mom,Yes,Yes,,,,,No,No,Yes,Yes,,Yes,No,Yes,No,68
3653,1976,Female,"$100,001 - $150,000",Domestic Partners (no kids),Master's Degree,Independent,Yes,Yes,No,Yes,Yes,Yes,Public,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Risk-friendly,Yes,Yes!,No,Socialize,No,Online,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,No,No,28
3654,1977,Female,"$25,001 - $50,000",Domestic Partners (w/kids),Associate's Degree,Democrat,,,,,,,,,,,Yes,Yes,Yes,No,Science,,,,,,,,,,,,Hot headed,Standard hours,No,Happy,Yes,Yes,No,No,P.M.,No,Start,Yes,No,Circumstances,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
3655,1998,Female,"$100,001 - $150,000",,Current K-12,Libertarian,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,Yes,No,No,Yes,Yes,Science,Try first,No,Yes,Yes,Yes,,Yes,No,Pragmatist,Yes,No,Cool headed,Standard hours,No,Right,No,,,,,,,,,,Yes,,Yes,No,Yes,Mysterious,No,No,Talk,People,No,No,Yes,No,Yes,Supportive,No,PC,No,Risk-friendly,No,Umm...,No,Space,Yes,Online,No,No,Yes,No,Grrr people,No,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,67
3656,NA,Female,"$75,000 - $100,000",Married (w/kids),Associate's Degree,Republican,,No,No,No,No,Yes,Public,No,Yes,No,No,No,No,Yes,Science,,,,,,,No,No,Pragmatist,No,No,Cool headed,Standard hours,Yes,Happy,No,Yes,No,No,A.M.,Yes,Start,Yes,No,Circumstances,Yes,No,No,Yes,No,,,No,,,Yes,No,Yes,Yes,No,Demanding,No,Mac,Yes,Cautious,No,,,,,,,Yes,Yes,Yes,Yay people!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
3657,1996,Male,"$100,001 - $150,000",Single (no kids),,Libertarian,,No,,,Yes,Yes,Public,No,No,No,No,No,No,Yes,Science,Try first,No,,No,No,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Happy,No,Yes,No,No,P.M.,Yes,Start,Yes,Yes,Me,No,,Yes,No,No,Mysterious,No,,Talk,Technology,Yes,Yes,,Yes,Yes,Supportive,No,,No,,No,Yes!,No,Space,Yes,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,No,,No,Yes,No,No,No,No,No,Own,Pessimist,Dad,No,No,No,No,Nope,Yes,No,No,Yes,Yes,Yes,Yes,No,,Yes,90
3658,NA,Female,,Single (no kids),,Other,No,Yes,No,No,Yes,No,Public,No,Yes,No,No,Yes,No,Yes,Science,Study first,No,No,No,Yes,Giving,Yes,No,Idealist,Yes,No,Cool headed,Odd hours,No,Happy,Yes,Yes,No,No,A.M.,Yes,Start,Yes,No,Circumstances,No,Yes,Yes,No,No,TMI,No,No,Talk,People,Yes,Yes,No,No,Yes,Demanding,No,PC,No,Risk-friendly,Yes,Yes!,No,Socialize,No,Online,No,Yes,Yes,Yes,Yay people!,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Rent,Optimist,Dad,No,Yes,Yes,Yes,Check!,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,101
3659,1989,Male,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat,No,No,Yes,No,No,No,Public,Yes,Yes,No,Yes,Yes,No,Yes,Art,Study first,No,Yes,Yes,No,Giving,No,No,Idealist,No,No,Cool headed,Odd hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,End,Yes,No,Circumstances,No,Yes,No,Yes,No,Mysterious,Yes,No,Talk,People,No,Yes,No,Yes,No,Supportive,Yes,Mac,No,Cautious,No,Yes!,No,Socialize,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Rent,Optimist,Mom,No,Yes,Yes,Yes,Nope,No,No,No,No,Yes,No,Only-child,Yes,No,No,101
3660,1995,Male,"under $25,000",Single (no kids),Current K-12,Independent,Yes,Yes,No,No,No,No,Private,No,No,No,No,No,Yes,Yes,Science,Try first,Yes,Yes,No,No,Giving,No,Yes,Pragmatist,No,No,Hot headed,Standard hours,Yes,Happy,No,Yes,No,No,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,Yes,No,Mysterious,No,Yes,Talk,Technology,Yes,No,Yes,No,Yes,Demanding,No,Mac,No,Cautious,Yes,Yes!,No,Space,Yes,In-person,No,No,Yes,No,Yay people!,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Own,Optimist,Dad,No,No,No,Yes,Check!,No,No,No,No,No,Yes,Only-child,Yes,Yes,No,101
