UserID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Party,Happy,Q124742,Q124122,Q123464,Q123621,Q122769,Q122770,Q122771,Q122120,Q121699,Q121700,Q120978,Q121011,Q120379,Q120650,Q120472,Q120194,Q120012,Q120014,Q119334,Q119851,Q119650,Q118892,Q118117,Q118232,Q118233,Q118237,Q117186,Q117193,Q116797,Q116881,Q116953,Q116601,Q116441,Q116448,Q116197,Q115602,Q115777,Q115610,Q115611,Q115899,Q115390,Q114961,Q114748,Q115195,Q114517,Q114386,Q113992,Q114152,Q113583,Q113584,Q113181,Q112478,Q112512,Q112270,Q111848,Q111580,Q111220,Q110740,Q109367,Q108950,Q109244,Q108855,Q108617,Q108856,Q108754,Q108342,Q108343,Q107869,Q107491,Q106993,Q106997,Q106272,Q106388,Q106389,Q106042,Q105840,Q105655,Q104996,Q103293,Q102906,Q102674,Q102687,Q102289,Q102089,Q101162,Q101163,Q101596,Q100689,Q100680,Q100562,Q99982,Q100010,Q99716,Q99581,Q99480,Q98869,Q98578,Q98059,Q98078,Q98197,Q96024,votes
17,1968,Female,"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat,0,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Start,,,,Yes,,,Yes,,,Yes,,Talk,Technology,,,,,,,Yes,PC,,,,,,,,In-person,Yes,,Yes,,,Yes,No,,Yes,,,Yes,,Yes,Yes,Yes,No,,,,Yes,Yes,Yes,Yes,Nope,Yes,,No,Yes,Yes,,Yes,No,Yes,,35
18,1993,Male,"$75,000 - $100,000",Single (no kids),Current Undergraduate,Republican,0,No,Yes,No,No,Yes,No,Public,No,Yes,No,Yes,No,Yes,Yes,Art,Try first,No,No,No,No,Receiving,Yes,Yes,Pragmatist,No,Yes,Cool headed,Odd hours,No,Happy,Yes,Yes,No,Yes,P.M.,No,Start,No,No,Circumstances,No,Yes,No,No,No,TMI,No,No,Tunes,People,No,No,Yes,Yes,Yes,Supportive,No,PC,No,Cautious,No,Yes!,No,Socialize,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Own,Pessimist,Dad,No,Yes,No,Yes,Nope,Yes,No,No,Yes,No,No,Yes,Yes,No,No,101
19,1951,Female,"$50,000 - $74,999",Married (w/kids),Master's Degree,Democrat,0,,No,No,Yes,No,No,Public,No,Yes,No,No,No,Yes,Yes,Science,,No,,No,Yes,,Yes,No,Pragmatist,No,Yes,Cool headed,Standard hours,Yes,Happy,,Yes,Yes,No,,Yes,,Yes,No,Me,Yes,Yes,Yes,Yes,No,,No,No,Talk,Technology,No,No,No,No,Yes,Supportive,No,Mac,Yes,Cautious,Yes,Yes!,No,Space,No,In-person,Yes,,Yes,No,Yay people!,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Own,,,No,,,,Check!,Yes,No,No,Yes,No,No,Yes,No,No,No,87
20,1996,Male,"over $150,000",Single (no kids),Current K-12,Democrat,0,Yes,No,No,No,No,No,Public,No,Yes,No,No,No,No,Yes,Art,Try first,No,Yes,No,No,Receiving,No,Yes,Pragmatist,No,No,Cool headed,Standard hours,Yes,Right,Yes,Yes,No,Yes,P.M.,Yes,End,Yes,No,Circumstances,No,Yes,No,Yes,Yes,Mysterious,No,No,Tunes,Technology,No,No,Yes,No,Yes,Supportive,No,PC,No,Risk-friendly,Yes,Umm...,No,Space,Yes,In-person,No,Yes,Yes,Yes,Grrr people,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Own,Pessimist,Dad,No,No,No,No,Nope,Yes,No,No,No,No,Yes,Yes,No,No,Yes,101
21,1977,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat,1,No,No,No,Yes,,No,Public,No,No,No,Yes,No,No,Yes,,Study first,,Yes,No,No,Giving,Yes,Yes,,No,No,,Standard hours,No,Happy,Yes,Yes,No,No,A.M.,,Start,Yes,No,Me,No,No,Yes,No,Yes,,No,Yes,Tunes,Technology,,Yes,Yes,No,Yes,Supportive,No,PC,No,Cautious,,Yes!,No,Space,No,In-person,No,No,Yes,Yes,Grrr people,Yes,No,No,No,Yes,No,Yes,,No,No,Yes,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Check!,Yes,Yes,No,No,Yes,No,Yes,Yes,,Yes,90
22,1961,Male,"over $150,000",Domestic Partners (no kids),High School Diploma,Republican,1,,Yes,No,Yes,,,,,Yes,No,No,No,No,Yes,Science,,,,,,,,No,,No,No,Cool headed,Odd hours,,Happy,No,,,,,Yes,,Yes,Yes,,No,Yes,Yes,Yes,,TMI,Yes,No,,,No,Yes,,,,,No,,No,Cautious,No,,,,,,,Yes,,Yes,Yay people!,Yes,,,Yes,,,No,No,,,,No,Own,Optimist,Dad,,No,No,Yes,,Yes,No,,,,No,Yes,,,,51
23,1979,Female,"$75,000 - $100,000",Single (no kids),High School Diploma,Democrat,1,Yes,No,No,Yes,Yes,Yes,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,Yes,No,No,Giving,Yes,No,Idealist,No,No,Cool headed,Standard hours,Yes,Happy,Yes,Yes,No,No,P.M.,Yes,End,Yes,No,Me,Yes,Yes,Yes,No,No,TMI,Yes,No,Talk,Technology,No,Yes,Yes,No,Yes,Demanding,Yes,PC,Yes,Cautious,No,Yes!,No,Space,Yes,In-person,No,No,Yes,No,Grrr people,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Rent,Pessimist,Dad,Yes,Yes,Yes,Yes,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,101
24,1942,Male,"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat,1,No,No,No,No,,No,Private,,,,No,,Yes,Yes,Science,Study first,Yes,,Yes,Yes,,Yes,No,Pragmatist,No,No,Cool headed,,Yes,Happy,Yes,Yes,Yes,No,P.M.,Yes,Start,Yes,No,Me,Yes,No,Yes,,No,TMI,Yes,Yes,Tunes,,Yes,No,No,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,Yes,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Yay people!,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Own,Optimist,Mom,,No,Yes,,Nope,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,89
25,1979,Female,"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Democrat,1,,Yes,No,Yes,No,No,Public,No,Yes,No,No,Yes,Yes,Yes,Science,Try first,Yes,No,No,No,Receiving,Yes,Yes,Pragmatist,No,No,Hot headed,Standard hours,No,Happy,Yes,No,Yes,No,P.M.,No,End,Yes,No,Circumstances,Yes,Yes,No,No,No,TMI,Yes,Yes,Tunes,People,No,Yes,Yes,No,No,Supportive,No,Mac,Yes,Risk-friendly,No,,,Space,,In-person,Yes,Yes,Yes,No,Grrr people,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Rent,Optimist,Dad,No,Yes,Yes,No,Nope,Yes,No,No,Yes,Yes,No,Yes,No,No,No,97
26,1968,Male,"$50,000 - $74,999",Married (no kids),,Republican,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Start,Yes,Yes,,Yes,No,No,Yes,Yes,Mysterious,Yes,Yes,Talk,People,Yes,No,No,Yes,No,Demanding,No,Mac,Yes,,,,,,,,,,Yes,Yes,Yay people!,Yes,No,No,Yes,Yes,Yes,Yes,No,No,,,No,,,,,,,,,,,,,,,,,,No,37
27,1971,Male,"$100,001 - $150,000",Married (w/kids),High School Diploma,Independent,1,No,Yes,No,No,Yes,Yes,Public,No,Yes,No,Yes,No,No,Yes,Art,Study first,Yes,Yes,Yes,No,Giving,Yes,No,Idealist,Yes,No,,,,,,,,,,No,End,No,Yes,Circumstances,No,No,No,No,No,TMI,No,Yes,Tunes,Technology,Yes,Yes,Yes,No,Yes,,,Mac,Yes,Risk-friendly,No,Yes!,No,Space,No,In-person,No,,,,,,,,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Own,Optimist,Dad,Yes,Yes,No,,,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,79
28,1969,Female,"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat,1,No,No,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,Yes,No,Science,Study first,No,No,No,No,Giving,Yes,Yes,Pragmatist,Yes,Yes,Hot headed,Standard hours,Yes,Happy,Yes,Yes,Yes,No,A.M.,No,End,Yes,Yes,Me,No,No,No,No,No,Mysterious,No,No,Talk,People,No,Yes,Yes,No,Yes,Supportive,Yes,PC,Yes,Cautious,Yes,Yes!,No,Space,No,Online,Yes,Yes,Yes,Yes,Yay people!,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Own,Optimist,Mom,No,Yes,Yes,Yes,Check!,Yes,No,No,Yes,No,No,Yes,No,No,No,101
29,1997,Male,"over $150,000",Married (w/kids),Current K-12,Republican,1,,Yes,No,,,,Private,No,,,Yes,No,,Yes,Science,Try first,,,,No,Giving,,No,,,No,,Standard hours,,Happy,No,Yes,,No,P.M.,,,,Yes,,Yes,Yes,,No,,,,,,,Yes,Yes,Yes,No,No,Supportive,No,Mac,,,,,,,,,,,,,,,,,,,,,,,,,,,Pessimist,Mom,,,,No,,,,,,,,Yes,,Yes,,36
30,1980,Male,,Married (no kids),Bachelor's Degree,Independent,0,Yes,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,No,No,No,Yes,Receiving,No,Yes,Pragmatist,Yes,No,Cool headed,Odd hours,No,Right,Yes,Yes,No,Yes,P.M.,Yes,End,No,Yes,Circumstances,No,Yes,Yes,No,No,Mysterious,Yes,No,Talk,People,No,No,Yes,No,Yes,Supportive,No,PC,Yes,Cautious,No,,,,,In-person,No,No,Yes,Yes,Grrr people,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Own,Pessimist,Mom,Yes,No,No,No,Nope,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,97
31,1961,Female,"$100,001 - $150,000",Married (w/kids),,Independent,0,,No,No,Yes,No,No,Private,No,Yes,No,No,Yes,No,Yes,Science,Try first,No,Yes,No,No,Giving,Yes,Yes,Pragmatist,No,No,Cool headed,Odd hours,Yes,Happy,Yes,Yes,No,No,A.M.,Yes,End,Yes,No,Me,No,Yes,No,Yes,No,TMI,Yes,Yes,Talk,Technology,No,Yes,No,No,Yes,Supportive,No,Mac,Yes,Cautious,No,Umm...,No,Space,No,Online,Yes,Yes,Yes,No,Yay people!,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Nope,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,100
32,1975,Male,"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Independent,0,No,,No,Yes,Yes,No,Public,No,Yes,No,Yes,Yes,No,Yes,Art,Try first,Yes,No,No,Yes,Giving,Yes,No,Idealist,No,Yes,,Standard hours,No,Happy,No,Yes,Yes,Yes,P.M.,No,End,Yes,No,Me,Yes,Yes,No,No,No,TMI,No,No,Talk,Technology,No,Yes,Yes,No,No,Supportive,No,PC,Yes,Risk-friendly,No,Umm...,No,Space,No,In-person,Yes,Yes,Yes,Yes,Grrr people,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Own,Pessimist,Mom,No,Yes,No,Yes,Nope,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,99
33,1990,Male,"$50,000 - $74,999",Single (no kids),,Democrat,1,,Yes,No,No,No,Yes,Public,No,No,No,Yes,No,No,Yes,Art,Try first,Yes,No,No,No,Receiving,No,No,Idealist,No,Yes,Hot headed,Odd hours,Yes,Happy,Yes,Yes,No,Yes,P.M.,Yes,End,No,No,Me,No,,,,No,TMI,No,No,Tunes,People,,,,,Yes,Demanding,Yes,Mac,Yes,Risk-friendly,Yes,Yes!,No,Space,Yes,In-person,Yes,No,Yes,Yes,Grrr people,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,Rent,Pessimist,Mom,No,Yes,No,,Check!,No,No,No,Yes,,Yes,Yes,Yes,No,No,90
34,1958,Male,"$50,000 - $74,999",Single (no kids),High School Diploma,Republican,0,,No,No,Yes,Yes,Yes,Public,No,Yes,No,No,Yes,No,Yes,Science,Try first,No,No,No,No,Giving,No,Yes,Pragmatist,No,Yes,Cool headed,Standard hours,No,Right,Yes,No,No,No,A.M.,,Start,Yes,No,Me,No,Yes,Yes,Yes,Yes,Mysterious,Yes,No,Talk,Technology,Yes,Yes,Yes,No,Yes,Demanding,No,PC,Yes,,No,,,,,In-person,No,No,Yes,Yes,Grrr people,Yes,,,No,No,No,No,No,Yes,No,Yes,No,Rent,Pessimist,Dad,No,Yes,No,No,Nope,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,92
35,1991,Male,"under $25,000",Single (no kids),Current Undergraduate,Republican,0,No,Yes,No,No,No,No,Public,No,Yes,No,No,No,No,Yes,Art,Study first,No,Yes,No,No,Receiving,Yes,Yes,Pragmatist,No,No,Cool headed,Standard hours,No,Right,Yes,No,Yes,No,P.M.,Yes,Start,No,Yes,Circumstances,Yes,Yes,Yes,Yes,No,Mysterious,No,Yes,Tunes,Technology,Yes,No,Yes,No,Yes,Supportive,No,Mac,No,Cautious,No,Yes!,No,Space,No,In-person,No,Yes,Yes,Yes,Grrr people,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Own,Pessimist,Mom,No,No,No,Yes,Check!,Yes,No,No,No,Yes,No,Only-child,No,Yes,Yes,101
36,1984,Female,"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Independent,0,No,Yes,No,Yes,No,Yes,Public,No,Yes,No,Yes,No,No,Yes,Science,Study first,Yes,Yes,Yes,Yes,Receiving,No,No,Pragmatist,No,Yes,Hot headed,Standard hours,No,Happy,No,Yes,Yes,Yes,P.M.,No,Start,Yes,No,Me,No,Yes,Yes,Yes,No,TMI,No,No,Tunes,Technology,No,No,Yes,Yes,Yes,Supportive,No,Mac,No,Risk-friendly,No,Umm...,No,Space,No,Online,Yes,No,No,Yes,Grrr people,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Own,Optimist,Dad,No,Yes,Yes,Yes,Check!,Yes,Yes,No,Yes,No,No,Yes,No,No,No,101
37,1990,Female,"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Libertarian,0,,No,No,No,Yes,No,Public,No,Yes,No,No,Yes,Yes,,,Study first,Yes,No,No,No,Giving,Yes,Yes,Pragmatist,No,Yes,Hot headed,Odd hours,No,Happy,No,Yes,No,Yes,P.M.,Yes,End,Yes,No,Me,No,No,Yes,Yes,Yes,TMI,No,No,Talk,People,No,Yes,Yes,No,,,,,,Cautious,,Yes!,No,Space,No,In-person,No,No,Yes,No,Grrr people,No,No,Yes,Yes,Yes,,No,Yes,No,No,No,No,,Pessimist,Dad,No,No,Yes,Yes,Check!,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,90
